TNI,Location,Voltage,FY14,FY15,FY16,FY17,FY18
ACA1,Canberra,132,0.9971,0.9642,0.9828,1.0095,1.0362
AQB1,Queanbeyan (ACTEW),66,1.015,0.9752,0.9924,1.0257,1.0563
AQB2,Queanbeyan (Essential Energy),66,1.015,0.9752,0.9924,1.0257,1.0563
NALB,Albury,132,1.0067,0.942,0.9779,1.0305,1.108
NALC,Alcan,132,0.9924,0.9922,0.9943,0.9933,0.992
NANM,Australian Newsprint Mill,132,0.9999,0.9421,0.9824,1.0294,1.111
NAR1,Armidale,66,0.9799,1.0266,0.9905,0.9435,0.902
NBAL,Balranald,22,1.0411,0.9728,1.0259,1.1166,1.2097
NBAY,Bayswater PS Unit 1 & 2,330,,0.9656,0.9668,0.959,0.952
NBER,Beryl,66,1.014,1.0155,1.0077,1.0145,1.0067
NBFN,Beaconsfield North,132,1.0075,1.0058,1.0065,1.0078,1.0081
NBFS,Beaconsfield South,132,1.0075,1.0058,1.0065,1.0078,1.0081
NBFW,Beaconsfield West,132,1.0075,1.0058,1.0065,1.0078,1.0081
NBG1,Bunnerong,132,1.0085,1.0054,1.0054,1.0076,1.008
NBG3,Bunnerong,33,1.0174,1.0089,1.009,1.0097,1.0099
NBGE,Boggabri East,132,,,1.0578,1.0022,0.9677
NBGN,Boggabri North,132,,,1.0609,1.0056,0.9694
NBH1,Brandy Hill,132,0.9979,0.9941,,,
NBHL,Brandy Hill,11,0.9979,0.9941,0.9958,0.9941,0.9924
NBKG,Broken Hill,22,1.0806,0.9978,1.048,1.1714,1.2841
NBKH,Broken Hill,220,1.072,0.9901,1.0427,1.1632,1.2757
NBLW,Blowering,132,,0.9368,0.9431,0.9815,1.0506
NBM1,Belmore Park,132,1.0072,1.0056,1.0061,1.0079,1.0082
NBRF,Beresfield,33,0.9991,0.9958,0.9973,0.9965,0.9947
NBU2,Burrinjuck,132,0.9956,0.9597,0.9764,1.0045,1.0324
NBUK,Burrinjuck,132,,0.9481,0.9589,0.9915,1.0275
NBYW,Bayswater PS Unit 3 & 4,500,,0.965,0.9668,0.9603,0.9532
NCAR,Carlingford,132,1.0038,1.0001,1.0018,1.0035,1.0041
NCB1,Canterbury,132,,,1.0041,,
NCH1,Coffs Harbour,66,1.009,1.0631,1.0124,0.9634,0.9139
NCHM,Charmhaven,11,0.997,0.9933,0.9944,0.9935,0.9925
NCHU,Chullora,132,1.0107,1.0065,1.0072,1.0077,1.0076
NCLG,Colongra PS Unit 1,2,3,4,330,,0.9855,0.9793,0.9872,0.9831
NCLY,Coleambally,132,1.0216,0.9637,1.0004,1.0477,1.1222
NCM2,Cooma (SPI),66,1.0156,0.9683,0.9763,1.0106,1.0387
NCMA,Cooma,66,1.0156,0.9683,0.9763,1.0106,1.0387
NCSN,Casino,132,1.0207,1.0907,1.0213,0.9648,0.9021
NCTB,Canterbury,33,1.012,1.009,1.0114,1.0134,1.0135
NCW8,Cowra,66,1.0257,1.004,1.0099,1.0355,1.0435
NCWF,Capital & Woodlawn Wind Farms,330,,0.9618,0.9748,0.9931,1.0163
NDN7,Deniliquin,66,1.0531,0.9833,1.0154,1.0715,1.14
NDNT,Darlington Point,132,1.0174,0.9593,0.9961,1.047,1.1114
NDOR,Dorrigo,132,1.0002,1.0507,1.0044,0.9568,0.9116
NDRM,Drummoyne,11,1.0172,1.0101,1.0122,1.009,1.009
NDT1,Dapto (Endeavour Energy),132,0.9946,0.9883,0.9916,0.9986,1.0023
NDT2,Dapto (Essential Energy),132,0.9946,0.9883,0.9916,0.9986,1.0023
NDUN,Dunoon,132,1.0204,1.1151,1.0251,0.9553,0.8881
NEP3,Eraring 330 PS Unit 1 & 2,330,,0.9842,0.9856,0.9829,0.982
NEPS,Eraring 500 PS Unit 3 & 4 & Load,500,,0.9857,0.9867,0.9846,0.9846
NEV1,Far North VTN,,0.9674,0.9756,0.9819,0.9745,0.9632
NEV2,North of Broken Bay VTN,,0.995,0.9931,0.9949,0.9937,0.9926
NEV3,South of Broken Bay VTN,,1.0082,1.0044,1.005,1.006,1.0064
NFB2,Forbes,66,1.0565,1.0517,1.0411,1.0535,1.0551
NFNY,Finley,66,1.0426,0.9752,1.0235,1.0825,1.1256
NGAD,Gadara,132,1.0145,0.9652,0.9934,1.0328,1.0756
NGF3,Gosford,66,1.0045,1.0001,1.0017,1.0015,1.0008
NGJP,Jindabyne pump at Guthega,132,,1.1865,1.138,1.1115,1.0474
NGLN,Glen Innes,66,1.0196,1.0672,1.0217,0.9696,0.9
NGN2,Gunnedah,66,1.0383,1.0571,1.036,0.9879,0.9592
NGRF,Griffith,33,1.0465,0.9773,1.0146,1.0665,1.1321
NGSF,Gosford,33,1.0056,0.9992,1.0019,1.0021,1.0014
NGSQ,Green Square,11,1.0077,1.006,1.0069,1.0081,1.0094
NGUR,Gullen Range Wind Farm,330,,0.9667,0.977,0.9909,1.001
NGUT,Guthega,132,,0.8987,0.8882,0.9371,0.9658
NGWF,West Gosford,11,1.0063,1.0018,1.0033,1.0031,1.0024
NHBB,Homebush Bay,11,1.0147,1.0082,1.0108,1.0112,1.0112
NHLD,Holroyd,132,1.0004,1.0008,1.0029,1.0001,0.9998
NHNC,Heron's Creek,132,1.0686,1.086,1.0462,1.0226,0.9921
NHUM,Hume (NSW Share),132,,0.9232,0.9483,1.002,1.1055
NHYM,Haymarket,132,1.0073,1.0055,1.0068,1.0079,1.0082
NING,Ingleburn,66,0.9983,0.9977,0.9991,1.0005,1.0001
NKCK,Kemps Creek,330,0.9964,0.9943,0.9954,0.9957,0.9965
NKHN,Khancoban,330,1.0449,1.0826,1.0468,1.0123,0.9369
NKL6,Koolkhan,66,1.0245,1.0839,1.025,0.9776,0.9255
NKN1,Kurnell,132,1.0043,1.0037,1.0039,1.0052,1.0055
NKS2,Kempsey,66,1.0592,1.0803,1.036,0.9976,0.9572
NKS3,Kempsey,33,1.0556,1.0824,1.0391,1.0006,0.96
NKU1,Kurri,11,0.9921,0.9919,0.9942,0.9932,0.9932
NKU3,Kurri,33,0.9951,0.9949,0.9969,0.9967,0.9951
