dlf_code,nsp_code
AH00,ACTEWP
AL00,ACTEWP
AS01,ACTEWP
AS02,ACTEWP
AS03,ACTEWP
AS04,ACTEWP
BH0A,CNRGYP
BH5A,CNRGYP
BL0A,CNRGYP
BL5A,CNRGYP
BS02,CNRGYP
BS03,CNRGYP
BS0A,CNRGYP
BS32,CNRGYP
BS33,CNRGYP
BS35,CNRGYP
BS38,CNRGYP
BS39,CNRGYP
BS40,CNRGYP
BS41,CNRGYP
BS43,CNRGYP
BS44,CNRGYP
BS45,CNRGYP
BS46,CNRGYP
BS48,CNRGYP
BS50,CNRGYP
BS51,CNRGYP
BS52,CNRGYP
BS53,CNRGYP
BS54,CNRGYP
BS55,CNRGYP
BS56,CNRGYP
BS57,CNRGYP
BS58,CNRGYP
CAGP,SOLARISP
CAHH,SOLARISP
CAPA,SOLARISP
CFMC,SOLARISP
CHBL,SOLARISP
CHBS,SOLARISP
CHCL,SOLARISP
CHCS,SOLARISP
CLDL,SOLARISP
CLDS,SOLARISP
CLEL,SOLARISP
CLES,SOLARISP
CSAL,SOLARISP
CSAS,SOLARISP
CVPC,SOLARISP
DLD2,CNRGYP
DLD6,CNRGYP
DLDL,CNRGYP
DLGB,CNRGYP
DLGD,CNRGYP
EDSD,CITIPP
EHVC,CITIPP
ELVE,CITIPP
ESS4,CITIPP
ESTA,CITIPP
EZSB,CITIPP
F1CH,ENERGEXP
F1CL,ENERGEXP
F1ZH,ENERGEXP
F3CL,ENERGEXP
FACI,ENERGEXP
FAPB,ENERGEXP
FBAC,ENERGEXP
FBCC,ENERGEXP
FBEP,ENERGEXP
FBOC,ENERGEXP
FCAL,ENERGEXP
FCRL,ENERGEXP
FEAN,ENERGEXP
FEAS,ENERGEXP
FGHP,ENERGEXP
FICT,ENERGEXP
FLCL,ENERGEXP
FLMD,ENERGEXP
FPAH,ENERGEXP
FQB,ENERGEXP
FQBH,ENERGEXP
FQBW,ENERGEXP
FQC,ENERGEXP
FQCB,ENERGEXP
FQCH,ENERGEXP
FQG,ENERGEXP
FQL,ENERGEXP
FQR,ENERGEXP
FQRS,ENERGEXP
FQT,ENERGEXP
FQW,ENERGEXP
FRAF,ENERGEXP
FRBH,ENERGEXP
FRPT,ENERGEXP
FSC,ENERGEXP
FSFT,ENERGEXP
FSSS,ENERGEXP
FSTC,ENERGEXP
FSWP,ENERGEXP
FTD,ENERGEXP
FUQ1,ENERGEXP
FUQ2,ENERGEXP
FVP,ENERGEXP
GBSB,ERGONETP
GEHB,ERGONETP
GEHL,ERGONETP
GELB,ERGONETP
GELL,ERGONETP
GESB,ERGONETP
GESL,ERGONETP
GMHB,ERGONETP
GMHL,ERGONETP
GMLB,ERGONETP
GMLL,ERGONETP
GMSB,ERGONETP
GMSL,ERGONETP
GS00,ERGONETP
GS01,ERGONETP
GS02,ERGONETP
GS03,ERGONETP
GS04,ERGONETP
GS05,ERGONETP
GS06,ERGONETP
GS07,ERGONETP
GS08,ERGONETP
GS09,ERGONETP
GS10,ERGONETP
GS11,ERGONETP
GS12,ERGONETP
GS13,ERGONETP
GS14,ERGONETP
GS15,ERGONETP
GS16,ERGONETP
GS17,ERGONETP
GS18,ERGONETP
GS19,ERGONETP
GS20,ERGONETP
GS21,ERGONETP
GS22,ERGONETP
GS23,ERGONETP
GS24,ERGONETP
GS25,ERGONETP
GS26,ERGONETP
GS27,ERGONETP
GS28,ERGONETP
GS29,ERGONETP
GS30,ERGONETP
GS31,ERGONETP
GS32,ERGONETP
GS33,ERGONETP
GS34,ERGONETP
GS35,ERGONETP
GS36,ERGONETP
GS37,ERGONETP
GS38,ERGONETP
GS39,ERGONETP
GS40,ERGONETP
GS41,ERGONETP
GS42,ERGONETP
GS43,ERGONETP
GS44,ERGONETP
GS45,ERGONETP
GS46,ERGONETP
GS47,ERGONETP
GS48,ERGONETP
GS49,ERGONETP
GS50,ERGONETP
GS51,ERGONETP
GS52,ERGONETP
GS53,ERGONETP
GS54,ERGONETP
GS55,ERGONETP
GS56,ERGONETP
GS57,ERGONETP
GS58,ERGONETP
GS59,ERGONETP
GS60,ERGONETP
GS61,ERGONETP
GS62,ERGONETP
GS63,ERGONETP
GS64,ERGONETP
GS65,ERGONETP
GS66,ERGONETP
GS67,ERGONETP
GS68,ERGONETP
GS69,ERGONETP
GS70,ERGONETP
GS71,ERGONETP
GS72,ERGONETP
GS73,ERGONETP
GS74,ERGONETP
GS75,ERGONETP
GS76,ERGONETP
GS77,ERGONETP
GS78,ERGONETP
GS79,ERGONETP
GS80,ERGONETP
GS81,ERGONETP
GS82,ERGONETP
GS83,ERGONETP
GS84,ERGONETP
GS85,ERGONETP
GS86,ERGONETP
GS87,ERGONETP
GS88,ERGONETP
GS89,ERGONETP
GS90,ERGONETP
GS91,ERGONETP
GS92,ERGONETP
GS93,ERGONETP
GS94,ERGONETP
GS95,ERGONETP
GS96,ERGONETP
GS97,ERGONETP
GS98,ERGONETP
GS99,ERGONETP
GWHB,ERGONETP
GWHL,ERGONETP
GWLB,ERGONETP
GWLL,ERGONETP
GWSB,ERGONETP
GWSL,ERGONETP
HHV1,INTEGP
HHVL,INTEGP
HHVT,INTEGP
HHY1,INTEGP
HHY2,INTEGP
HHY3,INTEGP
HHY4,INTEGP
HHY5,INTEGP
HIC1,INTEGP
HLVL,INTEGP
HLVT,INTEGP
HNC1,INTEGP
HNVL,INTEGP
HSTL,INTEGP
HSTS,INTEGP
HTF1,INTEGP
HTF2,INTEGP
HTV1,INTEGP
HTV2,INTEGP
HTV4,INTEGP
HTV1,INTEGP
HTX2,INTEGP
HTX3,INTEGP
HTX4,INTEGP
HTX5,INTEGP
HTX6,INTEGP
HTX7,INTEGP
HTX8,INTEGP
HTX9,INTEGP
HTY2,INTEGP
HTY3,INTEGP
HTY4,INTEGP
HTY5,INTEGP
HTY6,INTEGP
HTY7,INTEGP
J500,ENERGYAP
J541,ENERGYAP
J543,ENERGYAP
J550,ENERGYAP
J560,ENERGYAP
J580,ENERGYAP
J590,ENERGYAP
J600,ENERGYAP
J601,ENERGYAP
J605,ENERGYAP
J610,ENERGYAP
J615,ENERGYAP
J620,ENERGYAP
J630,ENERGYAP
J635,ENERGYAP
J640,ENERGYAP
J645,ENERGYAP
J655,ENERGYAP
J660,ENERGYAP
J670,ENERGYAP
J680,ENERGYAP
J700,ENERGYAP
J731,ENERGYAP
J732,ENERGYAP
J770,ENERGYAP
J771,ENERGYAP
J772,ENERGYAP
J773,ENERGYAP
J774,ENERGYAP
J775,ENERGYAP
J776,ENERGYAP
J777,ENERGYAP
J778,ENERGYAP
J779,ENERGYAP
J780,ENERGYAP
J781,ENERGYAP
J782,ENERGYAP
J783,ENERGYAP
J800,ENERGYAP
J881,ENERGYAP
J885,ENERGYAP
J886,ENERGYAP
J887,ENERGYAP
JCAP,ENERGYAP
JGEN,ENERGYAP
JGLB,ENERGYAP
JHBH,ENERGYAP
JHSH,ENERGYAP
JK23,ENERGYAP
JK24,ENERGYAP
JL1L,ENERGYAP
JL2L,ENERGYAP
JL40,ENERGYAP
JLDL,ENERGYAP
JLSL,ENERGYAP
JLSP,ENERGYAP
JLSU,ENERGYAP
JRED,ENERGYAP
JSSS,ENERGYAP
JSSS,ENERGYAP
JTOL,ENERGYAP
KAD,POWCP
KAF,POWCP
KAF1,POWCP
KAL,POWCP
KAS,POWCP
KBC,POWCP
KBL,POWCP
KBN,POWCP
KBS,POWCP
KCL,POWCP
KCS,POWCP
KDA,POWCP
KDA1,POWCP
KDA2,POWCP
KDL,POWCP
KDS,POWCP
KEL,POWCP
KES,POWCP
KGD,POWCP
KGE,POWCP
KGJ,POWCP
KGK,POWCP
KLD,POWCP
KRD,POWCP
KSB,POWCP
KSE,POWCP
KTE,POWCP
LASL,EASTERN
LASS,EASTERN
LBSL,EASTERN
LBSS,EASTERN
LCHL,EASTERN
LCHS,EASTERN
LDLL,EASTERN
LDLS,EASTERN
LELL,EASTERN
LELS,EASTERN
LL01,EASTERN
LL02,EASTERN
LL03,EASTERN
LL05,EASTERN
LL06,EASTERN
MC01,UNITED
MC02,UNITED
MC03,UNITED
MC04,UNITED
MC05,UNITED
MC06,UNITED
MC07,UNITED
MC08,UNITED
MHBL,UNITED
MHBS,UNITED
MHCL,UNITED
MHCS,UNITED
MLDL,UNITED
MLDS,UNITED
MLEL,UNITED
MLES,UNITED
MSAL,UNITED
MSAS,UNITED
NAB1,UMPLP
NAC1,UMPLP
NAC2,UMPLP
NAS1,UMPLP
NAS2,UMPLP
NBA1,UMPLP
NCDW,UMPLP
NCL1,UMPLP
NDS1,UMPLP
NDS2,UMPLP
NGM1,UMPLP
NGM2,UMPLP
NGT1,UMPLP
NHN1,UMPLP
NHN2,UMPLP
NHV1,UMPLP
NIF1,UMPLP
NKC4,UMPLP
NLV1,UMPLP
NLV2,UMPLP
NOS1,UMPLP
NOS2,UMPLP
NPS1,UMPLP
NPS3,UMPLP
NRT1,UMPLP
NSHW,UMPLP
NSP1,UMPLP
NSP2,UMPLP
NZS1,UMPLP
PACH,AURORAP
PBSM,AURORAP
PDDS,AURORAP
PDHV,AURORAP
PDLV,AURORAP
PDST,AURORAP
PDZN,AURORAP
PEDS,AURORAP
PEHV,AURORAP
PELV,AURORAP
PEMW,AURORAP
PEST,AURORAP
PEZN,AURORAP
PHDS,AURORAP
PHGM,AURORAP
PHHV,AURORAP
PHLV,AURORAP
PHST,AURORAP
PHZN,AURORAP
PNDS,AURORAP
PNHV,AURORAP
PNLV,AURORAP
PNST,AURORAP
PNZN,AURORAP
PSDS,AURORAP
PSHV,AURORAP
PSLV,AURORAP
PSPU,AURORAP
PSST,AURORAP
PSZN,AURORAP
PTDS,AURORAP
PTHV,AURORAP
PTLV,AURORAP
PTST,AURORAP
PTZN,AURORAP
PWHV,AURORAP
PWST,AURORAP
PWZN,AURORAP
XOX1,UMPLP
