REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,"2014/04/15 15:55:00",8449.02,49.45559,
NSW1,"2014/04/15 16:00:00",8409.35,49.03184,
NSW1,"2014/04/15 16:05:00",8470.45,49.03836,
NSW1,"2014/04/15 16:10:00",8367.7,48.66039,
NSW1,"2014/04/15 16:15:00",8420.84,49.02937,
NSW1,"2014/04/15 16:20:00",8489.95,48.67039,
NSW1,"2014/04/15 16:25:00",8522.61,48.67039,
NSW1,"2014/04/15 16:30:00",8479.75,48.67039,
NSW1,"2014/04/15 16:35:00",8489.75,48.64933,
NSW1,"2014/04/15 16:40:00",8485.42,48.67013,
NSW1,"2014/04/15 16:45:00",8465.73,48.94895,
NSW1,"2014/04/15 16:50:00",8484.3,48.67039,
NSW1,"2014/04/15 16:55:00",8501.22,48.96513,
NSW1,"2014/04/15 17:00:00",8539.94,48.92416,
NSW1,"2014/04/15 17:05:00",8616.11,48.67039,
NSW1,"2014/04/15 17:10:00",8613.13,48.67406,
NSW1,"2014/04/15 17:15:00",8597.46,48.67039,
NSW1,"2014/04/15 17:20:00",8683.77,49.37039,
NSW1,"2014/04/15 17:25:00",8717.26,49.38091,
NSW1,"2014/04/15 17:30:00",8773.3,48.67039,
NSW1,"2014/04/15 17:35:00",8807.85,48.65,
NSW1,"2014/04/15 17:40:00",8884.11,48.67039,
NSW1,"2014/04/15 17:45:00",8883.27,49.38013,
NSW1,"2014/04/15 17:50:00",9051.15,51.7,
NSW1,"2014/04/15 17:55:00",9099.58,52.03569,
NSW1,"2014/04/15 18:00:00",9186.53,53.22492,
NSW1,"2014/04/15 18:05:00",9139.71,52.81811,
NSW1,"2014/04/15 18:10:00",9048.41,48.72,
NSW1,"2014/04/15 18:15:00",9099.55,51.7,
NSW1,"2014/04/15 18:20:00",9071.85,48.75726,
NSW1,"2014/04/15 18:25:00",9024.21,51.7,
NSW1,"2014/04/15 18:30:00",9048.05,51.7,
NSW1,"2014/04/15 18:35:00",9062.31,50.28459,
NSW1,"2014/04/15 18:40:00",8953.67,48.66039,
NSW1,"2014/04/15 18:45:00",8910.65,48.67013,
NSW1,"2014/04/15 18:50:00",8884.06,48.67039,
NSW1,"2014/04/15 18:55:00",8837.98,48.67039,
NSW1,"2014/04/15 19:00:00",8834.27,48.65,
NSW1,"2014/04/15 19:05:00",8741.61,48.67039,
NSW1,"2014/04/15 19:10:00",8690.52,48.67039,
NSW1,"2014/04/15 19:15:00",8560.69,48.65,
NSW1,"2014/04/15 19:20:00",8591.35,48.66039,
NSW1,"2014/04/15 19:25:00",8552.04,48.65059,
NSW1,"2014/04/15 19:30:00",8520.83,48.67039,
NSW1,"2014/04/15 19:35:00",8454.91,48.67065,
NSW1,"2014/04/15 19:40:00",8467.54,48.67039,
NSW1,"2014/04/15 19:45:00",8412.86,48.67039,
NSW1,"2014/04/15 19:50:00",8405.04,48.66065,
NSW1,"2014/04/15 19:55:00",8371.01,48.66091,
NSW1,"2014/04/15 20:00:00",8323.5,48.65,
NSW1,"2014/04/15 20:05:00",8310.44,48.64941,
NSW1,"2014/04/15 20:10:00",8228.04,48.64941,
NSW1,"2014/04/15 20:15:00",8240.76,48.65059,
NSW1,"2014/04/15 20:20:00",8230.38,48.64941,
NSW1,"2014/04/15 20:25:00",8207.64,48.64941,
NSW1,"2014/04/15 20:30:00",8173.8,48.6,
NSW1,"2014/04/15 20:35:00",8117.57,48.64941,
NSW1,"2014/04/15 20:40:00",8123.41,48.65008,
NSW1,"2014/04/15 20:45:00",8038.12,48.65,
NSW1,"2014/04/15 20:50:00",8019.69,48.65,
NSW1,"2014/04/15 20:55:00",7990.17,48.65,
NSW1,"2014/04/15 21:00:00",8003.6,48.64941,
NSW1,"2014/04/15 21:05:00",7970.67,48.65,
NSW1,"2014/04/15 21:10:00",7909.6,48.65,
NSW1,"2014/04/15 21:15:00",7851.8,48.65,
NSW1,"2014/04/15 21:20:00",7788.07,48.6497,
NSW1,"2014/04/15 21:25:00",7746.56,48.6497,
NSW1,"2014/04/15 21:30:00",7717.24,48.6,
NSW1,"2014/04/15 21:35:00",7695.94,48.6,
NSW1,"2014/04/15 21:40:00",7707.89,48.61,
NSW1,"2014/04/15 21:45:00",7613.49,45.41699,
NSW1,"2014/04/15 21:50:00",7594.58,44.75418,
NSW1,"2014/04/15 21:55:00",7535.6,44.76707,
NSW1,"2014/04/15 22:00:00",7532.06,44.79692,
NSW1,"2014/04/15 22:05:00",7661.29,49.53039,
NSW1,"2014/04/15 22:10:00",7746.99,48.67103,
NSW1,"2014/04/15 22:15:00",7746.53,48.65101,
NSW1,"2014/04/15 22:20:00",7710.5,48.65,
NSW1,"2014/04/15 22:25:00",7726.47,48.65036,
NSW1,"2014/04/15 22:30:00",7766.88,48.65073,
NSW1,"2014/04/15 22:35:00",7757.74,48.65008,
NSW1,"2014/04/15 22:40:00",7670.99,48.6498,
NSW1,"2014/04/15 22:45:00",7631.55,48.6,
NSW1,"2014/04/15 22:50:00",7618.44,48.64923,
NSW1,"2014/04/15 22:55:00",7511.26,47.46125,
NSW1,"2014/04/15 23:00:00",7448.95,46.94473,
NSW1,"2014/04/15 23:05:00",7671.68,49.59803,
NSW1,"2014/04/15 23:10:00",7592.31,48.67039,
NSW1,"2014/04/15 23:15:00",7557.33,48.67039,
NSW1,"2014/04/15 23:20:00",7533.15,48.64958,
NSW1,"2014/04/15 23:25:00",7461.19,47.83578,
NSW1,"2014/04/15 23:30:00",7483.6,48.65008,
NSW1,"2014/04/15 23:35:00",7580.16,53.13005,
NSW1,"2014/04/15 23:40:00",7631.55,52.64483,
NSW1,"2014/04/15 23:45:00",7575.43,52.21908,
NSW1,"2014/04/15 23:50:00",7519.98,51.44165,
NSW1,"2014/04/15 23:55:00",7487.66,48.66039,
NSW1,"2014/04/16 00:00:00",7411.78,48.6,
NSW1,"2014/04/16 00:05:00",7405.85,49.36975,
NSW1,"2014/04/16 00:10:00",7381.74,48.67039,
NSW1,"2014/04/16 00:15:00",7377.39,48.67039,
NSW1,"2014/04/16 00:20:00",7330.63,48.65,
NSW1,"2014/04/16 00:25:00",7378.01,48.67039,
NSW1,"2014/04/16 00:30:00",7301.25,48.65,
NSW1,"2014/04/16 00:35:00",7252.82,48.65,
NSW1,"2014/04/16 00:40:00",7232.22,48.65,
NSW1,"2014/04/16 00:45:00",7204.62,48.65,
NSW1,"2014/04/16 00:50:00",7138.44,48.6,
NSW1,"2014/04/16 00:55:00",7073.41,48.6,
NSW1,"2014/04/16 01:00:00",7097.32,48.6,
NSW1,"2014/04/16 01:05:00",7078.7,48.67007,
NSW1,"2014/04/16 01:10:00",7036.78,48.65018,
NSW1,"2014/04/16 01:15:00",6980.73,48.6,
NSW1,"2014/04/16 01:20:00",6930.88,48.6,
NSW1,"2014/04/16 01:25:00",6873.22,46.04871,
NSW1,"2014/04/16 01:30:00",6822.11,47.21007,
NSW1,"2014/04/16 01:35:00",6814.41,48.6,
NSW1,"2014/04/16 01:40:00",6768.94,45.47579,
NSW1,"2014/04/16 01:45:00",6765.49,47.10025,
NSW1,"2014/04/16 01:50:00",6732.38,45.50541,
NSW1,"2014/04/16 01:55:00",6673.62,45.51916,
NSW1,"2014/04/16 02:00:00",6599.02,44.69686,
NSW1,"2014/04/16 02:05:00",6579.8,48.0278,
NSW1,"2014/04/16 02:10:00",6479,45.17585,
NSW1,"2014/04/16 02:15:00",6479.42,46.26727,
NSW1,"2014/04/16 02:20:00",6381.74,45.56928,
NSW1,"2014/04/16 02:25:00",6389.41,45.57604,
NSW1,"2014/04/16 02:30:00",6317.39,45.22134,
NSW1,"2014/04/16 02:35:00",6229.33,44.08903,
NSW1,"2014/04/16 02:40:00",6263.44,45.25612,
NSW1,"2014/04/16 02:45:00",6207.57,44.06288,
NSW1,"2014/04/16 02:50:00",6202.26,44.07842,
NSW1,"2014/04/16 02:55:00",6156.78,44.01,
NSW1,"2014/04/16 03:00:00",6091.88,43.60654,
NSW1,"2014/04/16 03:05:00",6108.99,43.75724,
NSW1,"2014/04/16 03:10:00",6089.15,43.78673,
NSW1,"2014/04/16 03:15:00",6036.65,43.78062,
NSW1,"2014/04/16 03:20:00",6037.99,43.95033,
NSW1,"2014/04/16 03:25:00",6012.1,43.77287,
NSW1,"2014/04/16 03:30:00",5996.61,43.76702,
NSW1,"2014/04/16 03:35:00",6031.38,43.77828,
NSW1,"2014/04/16 03:40:00",6040.93,43.92938,
NSW1,"2014/04/16 03:45:00",6028,43.77183,
NSW1,"2014/04/16 03:50:00",5999.23,43.77316,
NSW1,"2014/04/16 03:55:00",6042.19,43.94701,
NSW1,"2014/04/16 04:00:00",5995.51,43.77713,
NSW1,"2014/04/16 04:05:00",6012.08,43.78254,
NSW1,"2014/04/16 04:10:00",6001,43.78282,
NSW1,"2014/04/16 04:15:00",5997.44,43.62946,
NSW1,"2014/04/16 04:20:00",5972.2,43.94,
NSW1,"2014/04/16 04:25:00",6024.59,43.77984,
NSW1,"2014/04/16 04:30:00",5968.68,43.76902,
NSW1,"2014/04/16 04:35:00",6003.01,43.93988,
NSW1,"2014/04/16 04:40:00",6048.39,43.95789,
NSW1,"2014/04/16 04:45:00",6017.18,44.91056,
NSW1,"2014/04/16 04:50:00",6092.06,44.54963,
NSW1,"2014/04/16 04:55:00",6155.62,44.54734,
NSW1,"2014/04/16 05:00:00",6188.89,45.37038,
NSW1,"2014/04/16 05:05:00",6191.95,45.61234,
NSW1,"2014/04/16 05:10:00",6273.39,48.64998,
NSW1,"2014/04/16 05:15:00",6339.94,48.65,
NSW1,"2014/04/16 05:20:00",6386.78,48.65,
NSW1,"2014/04/16 05:25:00",6434.64,48.65,
NSW1,"2014/04/16 05:30:00",6476.39,48.65008,
NSW1,"2014/04/16 05:35:00",6576.39,48.66993,
NSW1,"2014/04/16 05:40:00",6613.17,48.65038,
NSW1,"2014/04/16 05:45:00",6610.42,48.6,
NSW1,"2014/04/16 05:50:00",6744,48.65039,
NSW1,"2014/04/16 05:55:00",6782.49,48.66014,
NSW1,"2014/04/16 06:00:00",6833.46,48.65058,
NSW1,"2014/04/16 06:05:00",6968.95,48.57154,
NSW1,"2014/04/16 06:10:00",7065.71,48.65025,
NSW1,"2014/04/16 06:15:00",7209.36,49.42,
NSW1,"2014/04/16 06:20:00",7258.82,48.64947,
NSW1,"2014/04/16 06:25:00",7321.64,48.65,
NSW1,"2014/04/16 06:30:00",7293.6,48.65,
NSW1,"2014/04/16 06:35:00",7378.34,48.88401,
NSW1,"2014/04/16 06:40:00",7455.27,48.6701,
NSW1,"2014/04/16 06:45:00",7524.47,48.65034,
NSW1,"2014/04/16 06:50:00",7642.26,48.91658,
NSW1,"2014/04/16 06:55:00",7615.79,48.6701,
NSW1,"2014/04/16 07:00:00",7621.86,48.65034,
NSW1,"2014/04/16 07:05:00",7645.07,44.89533,
NSW1,"2014/04/16 07:10:00",7666.08,48.64918,
NSW1,"2014/04/16 07:15:00",7758.76,48.77729,
NSW1,"2014/04/16 07:20:00",7719.49,48.65004,
NSW1,"2014/04/16 07:25:00",7848.47,48.71746,
NSW1,"2014/04/16 07:30:00",7855.05,48.67117,
NSW1,"2014/04/16 07:35:00",7942.48,49.48295,
