REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,"2015/02/01 00:30:00",6449.79,19.83,TRADE
NSW1,"2015/02/01 01:00:00",6269.43,18.41,TRADE
NSW1,"2015/02/01 01:30:00",6021.99,17.98,TRADE
NSW1,"2015/02/01 02:00:00",5846.17,17.39,TRADE
NSW1,"2015/02/01 02:30:00",5718.94,15.51,TRADE
NSW1,"2015/02/01 03:00:00",5619.36,14.99,TRADE
NSW1,"2015/02/01 03:30:00",5580.75,13.41,TRADE
NSW1,"2015/02/01 04:00:00",5607.97,15.57,TRADE
NSW1,"2015/02/01 04:30:00",5631.07,16.34,TRADE
NSW1,"2015/02/01 05:00:00",5679.32,17.24,TRADE
NSW1,"2015/02/01 05:30:00",5785.94,15.87,TRADE
NSW1,"2015/02/01 06:00:00",5873.19,17.21,TRADE
NSW1,"2015/02/01 06:30:00",6073.37,18.77,TRADE
NSW1,"2015/02/01 07:00:00",6314.07,18.96,TRADE
NSW1,"2015/02/01 07:30:00",6556.38,19.02,TRADE
NSW1,"2015/02/01 08:00:00",6801.57,18.96,TRADE
NSW1,"2015/02/01 08:30:00",7037.31,19.51,TRADE
NSW1,"2015/02/01 09:00:00",7148.99,20.35,TRADE
NSW1,"2015/02/01 09:30:00",7271.6,22.09,TRADE
NSW1,"2015/02/01 10:00:00",7321.94,22.44,TRADE
NSW1,"2015/02/01 10:30:00",7336.06,22.94,TRADE
NSW1,"2015/02/01 11:00:00",7330.86,23.52,TRADE
NSW1,"2015/02/01 11:30:00",7365.7,23.07,TRADE
NSW1,"2015/02/01 12:00:00",7408.57,24.34,TRADE
NSW1,"2015/02/01 12:30:00",7393.35,24.46,TRADE
NSW1,"2015/02/01 13:00:00",7371.54,24.6,TRADE
NSW1,"2015/02/01 13:30:00",7366.16,24.46,TRADE
NSW1,"2015/02/01 14:00:00",7390.48,25.09,TRADE
NSW1,"2015/02/01 14:30:00",7434.9,26.34,TRADE
NSW1,"2015/02/01 15:00:00",7539.67,25.67,TRADE
NSW1,"2015/02/01 15:30:00",7552.42,25.94,TRADE
NSW1,"2015/02/01 16:00:00",7606.13,27.72,TRADE
NSW1,"2015/02/01 16:30:00",7603.41,28.08,TRADE
NSW1,"2015/02/01 17:00:00",7771.38,29.47,TRADE
NSW1,"2015/02/01 17:30:00",7815.78,28.01,TRADE
NSW1,"2015/02/01 18:00:00",7868.91,28.04,TRADE
NSW1,"2015/02/01 18:30:00",7739.87,27.96,TRADE
NSW1,"2015/02/01 19:00:00",7673.9,27.96,TRADE
NSW1,"2015/02/01 19:30:00",7707.26,27.99,TRADE
NSW1,"2015/02/01 20:00:00",7685.73,28.01,TRADE
NSW1,"2015/02/01 20:30:00",7582.43,27.88,TRADE
NSW1,"2015/02/01 21:00:00",7369.87,26.01,TRADE
NSW1,"2015/02/01 21:30:00",7220.52,23.51,TRADE
NSW1,"2015/02/01 22:00:00",7088.58,21.26,TRADE
NSW1,"2015/02/01 22:30:00",7036.15,21.91,TRADE
NSW1,"2015/02/01 23:00:00",6787.34,19.94,TRADE
NSW1,"2015/02/01 23:30:00",6651.9,19.34,TRADE
NSW1,"2015/02/02 00:00:00",6560.03,18.81,TRADE
NSW1,"2015/02/02 00:30:00",6427.04,18.47,TRADE
NSW1,"2015/02/02 01:00:00",6304.17,18.72,TRADE
NSW1,"2015/02/02 01:30:00",6034.72,18.96,TRADE
NSW1,"2015/02/02 02:00:00",5873.82,16.88,TRADE
NSW1,"2015/02/02 02:30:00",5782.89,15.14,TRADE
NSW1,"2015/02/02 03:00:00",5753.39,15.14,TRADE
NSW1,"2015/02/02 03:30:00",5767.33,15.3,TRADE
NSW1,"2015/02/02 04:00:00",5808.67,15.69,TRADE
NSW1,"2015/02/02 04:30:00",6071.33,18.96,TRADE
NSW1,"2015/02/02 05:00:00",6321.44,18.96,TRADE
NSW1,"2015/02/02 05:30:00",6922.02,21.82,TRADE
NSW1,"2015/02/02 06:00:00",7382.67,25.51,TRADE
NSW1,"2015/02/02 06:30:00",7837.99,29.27,TRADE
NSW1,"2015/02/02 07:00:00",8165.69,28.42,TRADE
NSW1,"2015/02/02 07:30:00",8238.43,28.16,TRADE
NSW1,"2015/02/02 08:00:00",8285.14,28.14,TRADE
NSW1,"2015/02/02 08:30:00",8355.05,28.47,TRADE
NSW1,"2015/02/02 09:00:00",8406.61,29.61,TRADE
NSW1,"2015/02/02 09:30:00",8459.58,28.48,TRADE
NSW1,"2015/02/02 10:00:00",8460.27,31.18,TRADE
